time,message,result
1758246009.722227,SBC Solver started in thread,[]
1758246009.7252285,"Processing 21 players, max time: 60s",[]
1758246009.7282286,Starting SBC solver process,[]
1758246009.7302277,Starting SBC configuration processing:,[]
1758246009.7342293,  constraints: List with 5 items,[]
1758246009.7382271,"    - {'scope': 'EXACT', 'count': -1, 'requirementKey': 'LEAGUE_COUNT', 'eligibilityValues': [5]}",[]
1758246009.7402284,"    - {'scope': 'EXACT', 'count': -1, 'requirementKey': 'NATION_COUNT', 'eligibilityValues': [6]}",[]
1758246009.743229,"    - {'scope': 'LOWER', 'count': -1, 'requirementKey': 'SAME_CLUB_COUNT', 'eligibilityValues': [2]}",[]
1758246009.7452276,"    - {'scope': 'GREATER', 'count': -1, 'requirementKey': 'TEAM_RATING', 'eligibilityValues': [80]}",[]
1758246009.7502277,"    - {'scope': 'GREATER', 'count': -1, 'requirementKey': 'CHEMISTRY_POINTS', 'eligibilityValues': [20]}",[]
1758246009.7542276,  formation: List with 11 items,[]
1758246009.7572284,"    - First 5 items: [0, 5, 5, 5, 10]",[]
1758246009.7592285,  challengeId: 19,[]
1758246009.7622273,  setId: 8,[]
1758246009.7672286,  brickIndices: List with 0 items,[]
1758246009.7902288,  finalSBC: False,[]
1758246009.7932289,  currentSolution: List with 11 items,[]
1758246009.7962291,"    - First 5 items: [None, None, None, None, None]",[]
1758246009.8002293,  subs: List with 0 items,[]
1758246009.8032289,  awards: List with 1 items,[]
1758246009.8062289,    - 304,[]
1758246009.809229,  setAward: List with 1 items,[]
1758246009.8122299,"    - {'assetId': 4, 'count': 1, 'item': None, 'halId': '', 'tradable': False, 'type': 'pack', 'value': 403, 'isCoin': False, 'isPack': True, 'isItem': False, 'isChampionQualificationPoints': False, 'isChampionStageEntry': False, 'isXP': False, 'isCoinBoost': False, 'isVanity': False}",[]
1758246009.81723,  sbcName: Golden Generation: England '66,[]
1758246009.821229,  challengeName: Wembley Glory,[]
1758246009.8792276,"Detected groupings for player filtering: leagueId, teamId, rating, nationId",[]
1758246009.9662306,Processing 21 players for SBC,[]
1758246010.046229,Processing time create_var: 0.01 seconds,[]
1758246010.0962296,Processing time create_basic_constraints: 0.0 seconds,[]
1758246010.2078016,Processing time create_unique_leagueId_constraint: 0.0 seconds,[]
1758246010.4113276,Processing time create_unique_nationId_constraint: 0.01 seconds,[]
1758246010.439329,Processing time create_max_teamId_constraint: 0.0 seconds,[]
1758246010.5809364,Processing time create_squad_rating_constraint_3: 0.01 seconds,[]
1758246010.6969893,"Creating chemistry constraint with target: 20, min per player: 0",[]
1758246010.7029884,"Formation: [0, 5, 5, 5, 10, 12, 14, 14, 16, 25, 25]",[]
1758246010.7069876,"Positions in formation: {0: 1, 5: 3, 10: 1, 12: 1, 14: 2, 16: 1, 25: 2}",[]
1758246010.8428457,Setting up position variables and chemistry calculations,[]
1758246011.060513,Setting up team chemistry tiers,[]
1758246011.0755088,Setting up league chemistry tiers,[]
1758246011.1169403,Setting up nation chemistry tiers,[]
1758246011.13494,Added constraint for total chemistry >= 20,[]
1758246011.2629402,Processing time create_chemistry_constraint: 0.44 seconds,[]
1758246011.505987,Processing time set_objective: 0.08 seconds,[]
1758246013.523014,Processing time SBC: 3.55 seconds,[]
1758246013.5270145,INFEASIBLE: The problem has been proven infeasible.,[]
1758246013.5310156,Solver thread completed successfully,[]
